OrderNo	UserId	Password	YOB	Action	Scenario	OrderType	Script	Segment	OrderPrice	PartialPrice	ProductType	Qty	QtyMod	OrderValidity
1	60003800	abc123	2000	New	Fresh Order Placement	Buy	Accelya	NSE	981	909	NRML	2	1	Day
2	60003800	abc123	2000	New	Partial Order	Sell	Accelya	NSE	981	909	NRML	1	1	Day
3	60003800	abc123	2000	MOD	Modification Qty	Buy	Accelya	NSE	981	909	NRML	1	3	Day
4	60003800	abc123	2000	MOD	Modification Price	Buy	Accelya	NSE	912	909	NRML	1	3	Day
5	60003800	abc123	2000	CXL	Cancellation	Buy	Accelya	NSE	981	909	NRML	1	1	Day
6	60003800	abc123	2000	MOD	Modification Qty	Buy	Accelya	NSE	908	909	NRML	1	2	Day
7	60003800	abc123	2000	MOD	Modification Price	Buy	Accelya	NSE	908	909	NRML	1	2	Day
8	60003800	abc123	2000	CXL	Cancellation	Buy	Accelya	NSE	908	909	NRML	1	1	Day
9	60003800	abc123	2000	New	Fresh Order Placement	Buy	Accelya	NSE	910	909	NRML	1	1	Day
10	60003800	abc123	2000	MOD	Modification Qty	Buy	Accelya	NSE	908	909	NRML	1	2	Day
11	60003800	abc123	2000	MOD	Modification Price	Buy	Accelya	NSE	908	910.05	NRML	1	2	Day
12	60003800	abc123	2000	CXL	Cancellation	Buy	Accelya	NSE	908	909	NRML	1	1	Day
13	60003800	abc123	2000	New	Fresh Order Placement	Buy	Accelya	NSE	908	909	NRML	1	1	Day
14	60003800	abc123	2000	MOD	Modification Qty	Buy	Accelya	NSE	908	909	NRML	1	2	Day
15	60003800	abc123	2000	MOD	Modification Price	Buy	Accelya	NSE	908	909	NRML	1	2	Day
16	60003800	abc123	2000	CXL	Cancellation	Buy	Accelya	NSE	908	909	NRML	1	1	Day
17	60003800	abc123	2000	New	Fresh Order Placement	Buy	Accelya	NSE	908	909	NRML	1	1	Day
18	60003800	abc123	2000	CXL	Cancellation	Buy	Accelya	NSE	908	909	NRML	1	1	Day
19	60003800	abc123	2000	New	Fresh Order Placement	Buy	Accelya	NSE	908.05	909	NRML	1	1	Day
20	60003800	abc123	2000	MOD	Modification Qty	Buy	Accelya	NSE	908	909	NRML	1	2	Day
21	60003800	abc123	2000	MOD	Modification Price	Buy	Accelya	NSE	908	908.1	NRML	1	2	Day
22	60003800	abc123	2000	CXL	Cancellation	Buy	Accelya	NSE	908	909	NRML	1	1	Day
23	60003800	abc123	2000	New	Fresh Order Placement	Buy	Accelya	NSE	981	909	NRML	1	1	Day
24	60003800	abc123	2000	MOD	Modification Qty	Buy	Accelya	NSE	981	909	NRML	1	2	Day
25	60003800	abc123	2000	MOD	Modification Price	Buy	Accelya	NSE	981	908.2	NRML	1	2	Day
26	60003800	abc123	2000	CXL	Cancellation	Buy	Accelya	NSE	981	909	NRML	1	1	Day
27	60003800	abc123	2000	New	Fresh Order Placement	Buy	Accelya	NSE	981	909	NRML	1	1	Day
28	60003800	abc123	2000	New	Fresh Order Placement	Buy	Accelya	NSE	981	909	NRML	1	1	Day
